UserId,ProductId,Rating,Timestamp
RPL,Echo Show - Black,4.0,2017-07-01 00:00:00+00:00
Ni,Echo Show - Black,4.0,2017-06-29 00:00:00+00:00
Quentin Moore,Echo Show - Black,5.0,
Ni,Echo Show - Black,3.0,2017-06-29 00:00:00+00:00
Ni,Echo Show - Black,3.0,2017-06-29 00:00:00+00:00
kas9103,Echo Show - Black,5.0,2017-06-30 00:00:00+00:00
Sandbagger,Echo Show - Black,5.0,2017-06-30 00:00:00+00:00
Sandy,Certified Refurbished Fire HD 10 Tablet,5.0,2016-12-02 00:00:00+00:00
donna,Certified Refurbished Fire HD 10 Tablet,3.0,2017-01-10 00:00:00+00:00
Amazon Customer,Certified Refurbished Fire HD 10 Tablet,5.0,2016-11-19 00:00:00+00:00
GMA,Certified Refurbished Fire HD 10 Tablet,5.0,2017-03-17 00:00:00+00:00
Sara B,Certified Refurbished Fire HD 10 Tablet,3.0,2017-02-07 00:00:00+00:00
Giacomo,Certified Refurbished Fire HD 10 Tablet,3.0,2016-11-21 00:00:00+00:00
gamecrazy,Certified Refurbished Fire HD 10 Tablet,3.0,2017-05-21 00:00:00+00:00
G Fontaine,Certified Refurbished Fire HD 10 Tablet,5.0,2016-12-23 00:00:00+00:00
Dixie Bee,Certified Refurbished Kindle E-reader - Black,4.0,2017-06-21 00:00:00+00:00
Alex Johnson,Certified Refurbished Kindle E-reader - Black,5.0,2017-06-25 00:00:00+00:00
Beaches,Certified Refurbished Kindle E-reader - Black,5.0,2017-07-05 00:00:00+00:00
Amazon Customer,Certified Refurbished Kindle E-reader - Black,5.0,2017-07-14 00:00:00+00:00
James H Mann,Certified Refurbished Kindle E-reader - Black,1.0,2017-07-01 00:00:00+00:00
Shannon S.,Certified Refurbished Kindle E-reader - Black,4.0,2017-07-13 00:00:00+00:00
Daniel Altenburg,Certified Refurbished Kindle E-reader - Black,1.0,2017-05-12 00:00:00+00:00
J. Chambers,Kindle Voyage E-reader,5.0,
K.E. Fuhrmann,Kindle Voyage E-reader,5.0,2014-10-23 00:00:00+00:00
sam,Kindle Voyage E-reader,3.0,2014-10-22 00:00:00+00:00
BShaw,Kindle Paperwhite E-reader - Black,5.0,2017-05-29 00:00:00+00:00
Desert Rat,Kindle Paperwhite E-reader - Black,5.0,2015-07-01 00:00:00+00:00
J. Chambers,Kindle Paperwhite E-reader - Black,5.0,
BShaw,Certified Refurbished Kindle Paperwhite E-reader - Black,5.0,2017-05-29 00:00:00+00:00
Desert Rat,Certified Refurbished Kindle Paperwhite E-reader - Black,5.0,2015-07-01 00:00:00+00:00
J. Chambers,Certified Refurbished Kindle Paperwhite E-reader - Black,5.0,
Kenneth Jung,Kindle Oasis with Leather Charging Cover - Black,5.0,2016-05-03 00:00:00+00:00
Phil (not) in Magnolia,Kindle Oasis with Leather Charging Cover - Black,5.0,
Pedro P. Cunha,Kindle Oasis with Leather Charging Cover - Black,2.0,
Liberty Standard,Fire HDX 8.9 Tablet,5.0,
Christopher Le,Fire HDX 8.9 Tablet,3.0,2014-10-29 00:00:00+00:00
Michael Gallagher,Fire HDX 8.9 Tablet,5.0,
Phil (not) in Magnolia,Kindle Oasis E-reader with Leather Charging Cover - Walnut,5.0,
J. Chambers,Kindle Oasis E-reader with Leather Charging Cover - Walnut,5.0,
S. Goldstein,Kindle Oasis E-reader with Leather Charging Cover - Walnut,3.0,2016-04-29 00:00:00+00:00
Lyn Craven,Kindle Oasis E-reader with Leather Charging Cover - Walnut,5.0,2016-05-09 00:00:00+00:00
MissOliviaP,Kindle E-reader - Black,5.0,2016-08-08 00:00:00+00:00
Rustic,Kindle E-reader - Black,5.0,2016-07-12 00:00:00+00:00
Sara Krzykowski,Kindle E-reader - Black,5.0,
Alex,Kindle E-reader - Black,5.0,2016-07-13 00:00:00+00:00
Dina,Kindle E-reader - Black,5.0,2016-11-21 00:00:00+00:00
Linda S Fox,Kindle E-reader - Black,5.0,2016-08-28 00:00:00+00:00
J. Chambers,Certified Refurbished Kindle Voyage E-reader with Special Offers,5.0,
K.E. Fuhrmann,Certified Refurbished Kindle Voyage E-reader with Special Offers,5.0,2014-10-23 00:00:00+00:00
sam,Certified Refurbished Kindle Voyage E-reader with Special Offers,3.0,2014-10-22 00:00:00+00:00
Snowmass,Certified Refurbished Echo Dot (2nd Generation) - Black,5.0,2017-05-06 00:00:00+00:00
Robert Beeman,Certified Refurbished Echo Dot (2nd Generation) - Black,5.0,
Philip J. Bohlken,Certified Refurbished Echo Dot (2nd Generation) - Black,5.0,2017-03-25 00:00:00+00:00
Amazon Customer,Certified Refurbished Echo Dot (2nd Generation) - Black,4.0,2017-04-18 00:00:00+00:00
